"hospital_name","LAT","LONG"
"European Gaza Hospital","31.303419882672","34.319611652471"
"Abu Yousef Alnajaar Hospital","31.273284110358","34.272854864692"
"Emirate Hospitals","31.30688582028","34.246015390802"
"Gaza Al-Quds Hospital","31.505978014841","34.430711477365"
"Al Wea'am Hospital","31.506618333291","34.439739996307"
"Dar Al-Shifa Hospital","31.524181390565","34.443345125134"
"Al-Ahil Arabi Baptist Hospital","31.504733925178","34.461479481868"
"Kamal Edwan Hospital","31.538409414629","34.501278971535"
"Indonesian Hospital","31.535066626413","34.509292024246"
"Al Qudse Hospital","31.538930717319","34.532665434052"
"Awda Hospital Al Nuseirat","31.452264498756","34.389073130411"
"Yafa Hospital","31.418227055456","34.345154520377"
"Nasser Hospital","31.346949638994","34.29229685535"
